,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
29,QyEMEOe-u1o,Spider-Man Across The Spider-Verse - Spot audio 2,"Ce Spider-Man veut écrire sa propre histoire. 🕷
Miles Morales revient dans #SpiderManAcrossTheSpiderVerse, actuellement au cinéma.
Découvrez dès maintenant la nouvelle bande-annonce officielle.",UC2I1RkNIDzTCAWB8M7BbAQw,SonyPicturesFr,https://i.ytimg.com/vi/QyEMEOe-u1o/default.jpg,N/A,1,False,PT16S,16.0
30,8e1-CyEtl_Q,"Diversification alimentaire : Romy, 5 mois, à la découverte de nouvelles saveurs","L’étape de diversification alimentaire correspond au passage d’une alimentation exclusivement constituée de lait à une alimentation variée. Elle débute entre 4 et 6 mois et se poursuit graduellement jusqu’à l’âge de 3 ans. Découvrez l’histoire de Romy, Andréa, Gaby et Sacha qui découvrent pas à pas de nouveaux aliments, de nouvelles textures et saveurs. 

Pour aller plus loin découvrez tous nos conseils et astuces sur la diversification alimentaire sur mangerbouger.fr : https://www.mangerbouger.fr/Manger-mieux/Manger-mieux-a-tout-age/Enfants/De-4-mois-a-3-ans",UCGAR1p-zHqYAKo2Y1EtMnrg,Santé publique France,https://i.ytimg.com/vi/8e1-CyEtl_Q/default.jpg,N/A,27,False,PT35S,35.0
31,UIvqkQ1Xxls,Droits sociaux dans l'UE : trouvez votre équilibre | #MakeItWork​,"Grâce aux droits sociaux dans l'UE, vous pouvez trouver un équilibre entre vie professionnelle et vie privée pour prendre soin de votre famille sans renoncer à votre carrière. Pour en savoir plus : https://social-rights.campaign.europa.eu/index_fr

Cette vidéo fait partie de la campagne #MakeItWork de la Commission européenne, qui vise à sensibiliser les citoyens et citoyennes aux droits sociaux dans l'UE et à les aider à profiter de leurs droits.

Pour en savoir plus, consultez notre site web en cliquant sur le lien ci-dessus.",UCY6ozViZ-tNJqctsghUq1bQ,Social Europe,https://i.ytimg.com/vi/UIvqkQ1Xxls/default.jpg,N/A,25,False,PT15S,15.0
32,CJVhHFKt-W8,Guigoz® Optipro® 2 fabriqué dans les Hauts-de-France avec du lait français,Bébé grandit ? Découvrez Guigoz® Optipro® 3 et 4 !,UCrjel8BfS1YkrkttpZpCeYw,Laboratoires Guigoz,https://i.ytimg.com/vi/CJVhHFKt-W8/default.jpg,N/A,26,True,PT30S,30.0
33,-sYV2DonEzY,Le Pouvoir de Feu Vert : 142€ d'économie sur votre Révision !,"Chez Feu Vert, notre vrai pouvoir c'est de vous faire économiser en moyenne 142€* sur votre Révision Auto. Pour le pouvoir d'achaaaaat !

Feu Vert, le pouvoir de l'Expert.

(*en moyenne par rapport aux concessionnaires, voir conditions en magasin ou sur feuvert.fr)

Abonnez-vous et cliquez sur la cloche 🔔 pour être informé des dernières vidéos mises en ligne ! ​
​Suivez-nous sur... ​
YouTube 👉  https://www.youtube.com/channel/UCZLbWTDeN1lhVqhbsjV9VQw
Facebook 👉  https://www.facebook.com/FeuVert​
Twitter 👉 https://twitter.com/feuvert_fr​
LinkedIn 👉 https://www.linkedin.com/company/feu-...
Site web 👉  https://www.feuvert.fr/​
#FeuVert #LePouvoirDuChat",UCZLbWTDeN1lhVqhbsjV9VQw,Feu Vert Fr,https://i.ytimg.com/vi/-sYV2DonEzY/default.jpg,"['vélo', 'antivol vélo', 'geolocalisation vélo', 'géolocalisation', 'tracker', 'tracer']",2,False,PT42S,42.0
34,JIBCmnJFiNI,50 ans de fidélité 15s,"On dit souvent que le tennis est un sport individuel, mais c’est grâce à eux et à vous qu’il prend tout son sens.
Depuis 50 ans, nous sommes convaincus que le tennis n’est jamais plus beau que quand il est collectif et tourné vers la jeunesse. #50ansdeFidélité",UCJeiOCUqrEbMqvqjuYVSihQ,BNP Paribas,https://i.ytimg.com/vi/JIBCmnJFiNI/default.jpg,N/A,26,False,PT15S,15.0
35,gD_TDVY4m28,"Diversification alimentaire : Sacha, 8 mois, prêt à découvrir de nouvelles textures","L’étape de diversification alimentaire correspond au passage d’une alimentation exclusivement constituée de lait à une alimentation variée. Elle débute entre 4 et 6 mois et se poursuit graduellement jusqu’à l’âge de 3 ans. Découvrez l’histoire de Romy, Andréa, Gaby et Sacha qui découvrent pas à pas de nouveaux aliments, de nouvelles textures et saveurs. 

Pour aller plus loin découvrez tous nos conseils et astuces sur la diversification alimentaire sur mangerbouger.fr : https://www.mangerbouger.fr/Manger-mieux/Manger-mieux-a-tout-age/Enfants/De-4-mois-a-3-ans",UCGAR1p-zHqYAKo2Y1EtMnrg,Santé publique France,https://i.ytimg.com/vi/gD_TDVY4m28/default.jpg,N/A,27,False,PT35S,35.0
36,cfuHuMm00OQ,"Découvrez Pampers Baby-Dry Pants, nos couches-culottes anti caca-ccident","Avec la poche stop & protect révolutionnaire qui aide à éviter les fuites !

Retrouvez également Pampers sur : 
Site web : http://www.pampers.fr
Facebook : https://www.facebook.com/PampersFrance
Instagram: https://www.instagram.com/pampers_france
Twitter : https://twitter.com/PampersFrance",UClnd-x83HUpXxAwKIDgStLw,Club Pampers,https://i.ytimg.com/vi/cfuHuMm00OQ/default.jpg,N/A,26,True,PT20S,20.0
37,BdHOy0Sg-N0,Electrifiez le Spider-Verse avec Hyundai.,"Retrouvez Miles, Gwen et l'avenir de la mobilité dans les salles de cinéma le 31 mai.",UCKlc8xd3F_g2kQEOcGW4x9Q,HYUNDAI FRANCE,https://i.ytimg.com/vi/BdHOy0Sg-N0/default.jpg,N/A,2,False,PT18S,18.0
38,1LkMHqpYksA,Kia Sportage. Un modèle d'inspiration.,"78 km d'autonomie électrique sur la version hybride rechargeable. A partir de 297€/mois.

➽ Abonnez-vous à notre chaîne pour ne rater aucune vidéo : https://www.youtube.com/user/KIAFrance/?sub_confirmation=1

Retrouvez sur notre chaîne tous nos modèles, des tutoriels pour votre Kia, des conseils sur l'électrique, ainsi que les actualités de la marque. 

➽ Notre philosophie :
Nous pensons que le mouvement inspire les idées. En poursuivant de nouvelles expériences, nous évoluons continuellement et trouvons une nouvelle source de motivation.
Notre vision consiste à créer des solutions de mobilité durable afin de fournir un nouvel espace qui rende la vie plus pratique et agréable, en proposant une mobilité exceptionnelle, basée sur des services étendus et sur des technologies écologiques innovantes et centrées sur les personnes.
Ensemble pour un meilleur avenir, rejoignez le mouvement.

Visitez notre site internet : https://www.kia.com/fr/

➽ Retrouvez nous aussi sur :
Facebook : https://www.facebook.com/kiafrance/
Instagram : https://www.instagram.com/kiafrance/?hl=fr
Twitter : https://twitter.com/kiafrance
Linkedin : https://www.linkedin.com/company/kia-france/",UCPd33x1zaJaTf2bMH3unfNg,Kia France,https://i.ytimg.com/vi/1LkMHqpYksA/default.jpg,"['kia', 'kiamotors', 'kia motors']",2,False,PT30S,30.0
