Video Link,Primary Tag,Secondary Tag,Description,,,,,,,,
https://www.youtube.com/watch?v=OtznsUupZJM,irrelevant,Home and Lifestyle,ad for a bbq grill showing various parts of outdoor grill w someone cooking,,,,,,,,
https://www.youtube.com/watch?v=3RoG1Tx1tgI,irrelevant,Travel & Adventure,shows family travelling and having fun on vacation,,,,,,,,
https://www.youtube.com/watch?v=GnymbIhPyxM,child directed,Toys,"ad for elasikorps small figurine toys, showing them in action being used",,,,,,,,
https://www.youtube.com/watch?v=hJ2UmBqP1aU,irrelevant,Autos & Vehicles,volvo car ad,,,,,,,,
https://www.youtube.com/watch?v=lH62LDVEdWc,irrelevant,Fashion,swaroviski jewelry ad,,,,,,,,
https://www.youtube.com/watch?v=zXOoza3sxiw,irrelevant,Music & Performance,"korean boyband music video, shows the boyband roaming a city, in a field and dancing",,,,,,,,
https://www.youtube.com/watch?v=_m8EwrVwzLo,irrelevant,Software,"ad for a database management software, shows physical activity",,,,,,,,
https://www.youtube.com/watch?v=m2JlmfB9DJs,irrelevant,Travel & Adventure,brand ambassador intro for explora journeys,,,,,,,,
https://www.youtube.com/watch?v=wv68v_2XSB4,irrelevant,Business & Entrepreneurship,ad for printing company w various printing options,,,,,,,,
https://www.youtube.com/watch?v=Z4bkszzj-lc,inappropriate,Interpersonal Violence,"music video, shows physical and interpersonal violence, bad language, weapons",,,,,,,,
https://www.youtube.com/watch?v=gTQddBYiHOM,irrelevant,Software,ad about a software to help learn coding. shows some features of the app,,,,,,,,
https://www.youtube.com/watch?v=ytxBLEGRh34,irrelevant,Tech & Gadgets,ad about a store that sells consumer technologies. shows women sneaking out to get equipment from the store,,,,,,,,
https://www.youtube.com/watch?v=BEoOOCd9OKE,irrelevant,Software,guest management platform for hotels,,,,,,,,
https://www.youtube.com/watch?v=yhT87HNT_LM,irrelevant,Software,officernd hyrbird ad for managing hybrid workplace,,,,,,,,
https://www.youtube.com/watch?v=_LMU8ehlctk,irrelevant,Software,"ad for a database management software, shows cars speeding",,,,,,,,
