Video Link,Primary Tag,Secondary Tag,Description,
https://www.youtube.com/watch?v=YMmfmpfrjEY,inappropriate,Interpersonal Violence,"features a physical altercation, punjabi song trailer",
https://www.youtube.com/watch?v=mF7FvOe1MTc,inaudible,Different Language,"music video in arabic, lady singing ",
https://www.youtube.com/watch?v=NJYYseJfask,irrelevant,Music & Performance,"music video showing a couple, but content is family friendly ish, ",
https://www.youtube.com/watch?v=7-gLmYJTDtI,inappropriate,Explicit Explicit Sexual Content,"very intimate rap music video, lyrics alos vulgar",
https://www.youtube.com/watch?v=m7URITTff24,inappropriate,Adult Suggestive Content,romantic lyrics and dynamic,
https://www.youtube.com/watch?v=zSoJa94Iq1k,irrelevant,Software,ad for app that has sound tracks,
https://www.youtube.com/watch?v=lQWhcfM6V-k,irrelevant,Tech & Gadgets,ad about a smartphone.shows a model displaying the phone,
https://www.youtube.com/watch?v=9uyS14YN3MI,inappropriate,Scariness,"horror show trailer, has violence, and jumpscares",
https://www.youtube.com/watch?v=VbTGAvAYaQY,irrelevant,Tech & Gadgets,tv unboxing,
https://www.youtube.com/watch?v=OuCiw7i0yMc,irrelevant,Fashion,stylo summer sale,
https://www.youtube.com/watch?v=sWDtg2UjFP0,excluded,,Children singing ramzan naat. Could also be irrelevant.,
https://www.youtube.com/watch?v=e0OpD2pjfzY,irrelevant,Music & Performance,mysic video for an eng song,
https://www.youtube.com/watch?v=ed8lEXjeK9I,inaudible,Different Language,woman singing in some other language ,
https://www.youtube.com/watch?v=DzlTcDy9J6g,child directed,Poems/Songs/Nursery Rhymes/Music,ad for kids challenge song,
https://www.youtube.com/watch?v=nvtkHxvvSH4,inaudible,Different Language,song in arabic language,
https://www.youtube.com/watch?v=OwQNnCD5WFs,irrelevant,Machinery,Motor manufacturing plant video,
https://www.youtube.com/watch?v=JNS1wyapTSI,irrelevant,Tech & Gadgets,one plus review,
https://www.youtube.com/watch?v=AIjDe512JoA,irrelevant,Gaming & Entertainment,production house ad,
https://www.youtube.com/watch?v=aVSM5qeIyPs,irrelevant,Gaming & Entertainment,sandbox nft game software,
https://www.youtube.com/watch?v=-FntqCDBcYc,irrelevant,Software,sound software ad,
https://www.youtube.com/watch?v=TW6022XvPso,irrelevant,Motivation & Inspiration,motivational speech in hinfi abt working hard,
https://www.youtube.com/watch?v=7lNGsLtiZxI,irrelevant,Documentary & History,documentary about celebs in vietnamense,
https://www.youtube.com/watch?v=1vjqGDkJSzk,excluded,,hindi religious song ,
https://www.youtube.com/watch?v=BwkLVZI3Yrw,child directed,Play and Adventure,"ad for dubai, showing kids playing in indoor arcade",
https://www.youtube.com/watch?v=Z7RRjkCbwAM,inappropriate,Explicit Explicit Sexual Content,"sxual dance, and moderate Adult Suggestive Content in a music video bhojpuri song",
https://www.youtube.com/watch?v=hCcGOI8JDdg,irrelevant,Home and Office,smart watch ad,
https://www.youtube.com/watch?v=yMPMU_u2HBg,inappropriate,Explicit Explicit Sexual Content,Music video. Heavily sexually suggestive,
https://www.youtube.com/watch?v=lqH-0-olhDU,inappropriate,Adult Suggestive Content,"song about romantic dynamic, has suggestive lyrics but no explicit content",
https://www.youtube.com/watch?v=QVvEKztK56U,irrelevant,Education & Learning,top 10 riddles podcast,
https://www.youtube.com/watch?v=AqjEIeYvQPA,inappropriate,Offensive language,"rap song, vulgar lyrics, inappropriate clothing",
https://www.youtube.com/watch?v=CzdklPLxCyU,irrelevant,Education & Learning,"ad for an educational platform, all of it is in russian, shows features in text based animations",
https://www.youtube.com/watch?v=TqcbFFuHwOI,excluded,,hindu worship song,
