,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
20,ic0D1pzrIdM,Äventyr och bad i fjällen från 267 kr/person/natt,"Bo på fjällens familjeresort där du hittar allting – nära och bekvämt. Här finns allt man kan önska för en familjesemester. Äventyrsbad, surf, relax, spa och en mängd uteaktiviteter i vår sagolika fjällvärld. Allt detta i kombination med tid för familjen och den friska fjällluften!

Läs mer om erbjudandet:
https://www.skistar.com/sv/erbjudanden/aventyr-och-bad-i-fjallen/",UCeHmZ--JdSfMSjRCNsszatA,SkiStar,https://i.ytimg.com/vi/ic0D1pzrIdM/default.jpg,N/A,24,False,PT23S,23.0
21,dqbESjSy4qM,PRO32187 16x9 Tvatt 15s SE,,UCfao09EPamUo5K1wE-MmckA,Fortum,https://i.ytimg.com/vi/dqbESjSy4qM/default.jpg,N/A,28,False,PT15S,15.0
22,XQEdLrYweZE,Välkommen till ICA-köket!,"Välkommen till ICA-köket! Här hittar du tips, tricks och allt som kan underlätta för dig i köket. Allt från havets läckerheter och husmanskost, till billiga måltider och smaskiga desserter. Prenumerera för att få härlig matinspiration varje vecka!

Prenumerera på ICA-Köket ► https://www.youtube.com/channel/UCmnI5BYQhE8TeDmWc89nofw

Här kan du också hitta oss:
Webben: https://www.ica.se
YouTube: https://www.youtube.com/ICA
Facebook: https://www.facebook.com/ICA
Instagram: https://www.instagram.com/icasverige

#matlagning #mat #middag #efterrätt #snacks #bästa #recept",UCmnI5BYQhE8TeDmWc89nofw,ICA-köket,https://i.ytimg.com/vi/XQEdLrYweZE/default.jpg,N/A,27,False,PT31S,31.0
23,h9YijRr8Kew,"Zmarta: I en värld av dåliga råd, är vi på din sida. 30s.","Hos Zmarta kan du få skräddarsydda ekonomiska lösningar utifrån dina behov. I en värld av dåliga råd, är vi på din sida. Se alla våra jämförelsetjänster på Zmarta.se.",UCUJBDJS8nftiCcnGSW03mlw,Zmarta Sverige,https://i.ytimg.com/vi/h9YijRr8Kew/default.jpg,N/A,1,False,PT30S,30.0
24,HUorJQebtGA,T8 SE,,UCEp8XLuwcxb9rVx2OJfGYbg,T8,https://i.ytimg.com/vi/HUorJQebtGA/default.jpg,N/A,22,False,PT49S,49.0
25,j55oJ8NHXlw,"[Hankook Tire] Hankook Tire X Formula E, Electrify Your Driving Emotion (15s)","Go beyond the track

EV Exclusive Tire & Technology

iON

✅ Learn More : https://www.hankooktire.com/global/en/tires/ion.html

#HankookTire #Diving_Emotion #Hankook #FormulaE #iON #EV #HK #FE #GlobalPartner #Electrify_your_Diving_Emotion #EV_Exclusive_Tire_Technology",UCydnzlUFgv1qoVL4puLczJw,Hankook Tire Global,https://i.ytimg.com/vi/j55oJ8NHXlw/default.jpg,N/A,2,False,PT16S,16.0
26,kB4ZaJQwpTE,"One Million Royal and Lady Million Royal, the new fragrances by Paco Rabanne.","Still haven’t subscribed to PACO RABANNE on YouTube? 
🡺 https://www.youtube.com/pacorabanne

Follow us on:
Instagram : https://www.instagram.com/pacorabanne
_
Facebook Fashion: https://www.facebook.com/pacorabanne
Facebook Fragrances: https://www.facebook.com/pacorabanneparfums
_
Twitter: https://twitter.com/pacorabanne
_
Spotify: https://spoti.fi/3c5dc0U
_
More on: https://www.pacorabanne.com",UCrM2dXon1LYEq63xH9Wc8pQ,Paco Rabanne,https://i.ytimg.com/vi/kB4ZaJQwpTE/default.jpg,"['paco rabanne', 'paco rabanne fashion', 'paco rabanne parfums', 'paco rabanne pub', 'paco rabanne ad', 'paco', 'rabanne', 'paco rabanne advertising']",24,False,PT11S,11.0
27,zuA8Dbj3VYA,Folksam 💙 För allt du älskar | Villaförsäkring,,UCNGUiwLkD2lLuIG9B35_VEg,Folksam,https://i.ytimg.com/vi/zuA8Dbj3VYA/default.jpg,"['Villa hemförsäkring', 'Hemförsäkring hus', 'Försäkra hus', 'Försäkra villa', 'Villaförsäkring', 'Husförsäkring']",25,False,PT15S,15.0
28,HBDaHjQW0lI,Valio PROfeel proteinpudding,Valio PROfeel är en serie proteinrika och färska produkter i flera goda smaker. Utmärkta som mellanmål eller närhelst du vill fylla på med protein.,UCxT7RX6Rp8EDZnx-29XJy3Q,Valio Sverige,https://i.ytimg.com/vi/HBDaHjQW0lI/default.jpg,N/A,24,True,PT10S,10.0
29,bW-SSb6bz6M,Trendande TV-spel på Tradera,,UCsjpQaATKv_Jkom9TeJzqXA,tradera,https://i.ytimg.com/vi/bW-SSb6bz6M/default.jpg,N/A,1,False,PT12S,12.0
30,f8CI0b99ieQ,Discover Care of Carl,"How do you identify personal style? Is it innovative, timeless, well-made or is it simply how a certain garment makes you feel and move? 
 
Your style stimulates self-confidence and allows you to express yourself without saying a single word. 
 
At Care of Carl, we offer carefully selected premium brands for men, as relevant today as they will be tomorrow. We will guide you towards a personal style, harmonizing with who you truly are. 
 
Welcome to our world; tailored, curated, and personalized, for you. We encourage to care for your garments, and we are humble to take on the task of inspire you to make smart investments in quality, which will last for generations to come, meaning true Classics of Tomorrow. #CAREOFCARL",UCv0GqFVldhFcg3tl6irtoUw,CareOfCarl,https://i.ytimg.com/vi/f8CI0b99ieQ/default.jpg,N/A,26,False,PT51S,51.0
31,zpifMjj-5WI,Boendeekonomi är jättekul! S5:A1 - Björn Gustafsson blir sparsam,"Välkommen in till banken! Kalle Moraeus blir SBAB:s nya sparprofil och övriga gänget blir gröna av avund. Nancy startar en lookalike-agentur och Björn utforskar, minst sagt, oväntade metoder i ett försök att bli mer sparsam.",UCtCgwlU-fdsOITBhJDPYLBA,SBAB Bank,https://i.ytimg.com/vi/zpifMjj-5WI/default.jpg,N/A,27,False,PT7M3S,423.0
32,ULLhYIdpdZw,S2:A6 | VÄX UPP FÖR F*N | OSCAR ZIA OCH MARKUS TORGEBY FLYR STRESSEN OCH LEVER LIVET I VILDMARKEN,"Skulle du byta ut din ångest mot att bo utomhus i vildmarken i fyra år? Det gjorde Markus Torgeby när livet svalde honom levande så att han knappt kunde andas. I det här avsnittet provar Oscar på att sova ute i skogen för att ta reda på om det kan vara ett botemedel mot konsekvenserna av det moderna livets stora faror. Oscar och Markus pratar om att odla sin inre trädgård och diskuterar om en löptur verkligen kan hjälpa mot stress och ångest. 

Om serien
I andra säsongen av Väx upp för f*n är artisten Oscar Zia ingen newbie på det jordnära livet längre. Han fortsätter fråga sig hur bra vi mår av att leva med hämtmat, doomscrolling och flygresor kors och tvärs. Han vill stanna upp, göra tvärtom och gräva där han står. Med hjälp av sina nyförvärvade kunskaper om växter har han bytt ut odlingarna på fönsterbrädan till ett trädgårdsland på torpet. Vid det röda huset i skogen får han besök av personer som kan lära honom allt om hur han kan lyckas bli självförsörjande ute på landet. 

Medverkande
Oscar Zia
Markus Torgeby

#Växupp #Oscarzia #Oscarziafamiljen #skog #vildmarken #svenskvildmark #utomhus #friluftsliv #friluftslivsverige #friluftslivnybörjare #ångest #stress",UC46W1hQGJMZRsNGHcd7bBew,GranngardenAB,https://i.ytimg.com/vi/ULLhYIdpdZw/default.jpg,['Granngården'],15,False,PT17M2S,1022.0
33,sd84bsRWSLY,Qlik Sense – Product Tour,The end-to-end data analytics platform without blind spots. Learn more here: http://bit.ly/2YmIE6L,UCqDEwoclB5Btepxr6O9EkAQ,Qlik,https://i.ytimg.com/vi/sd84bsRWSLY/default.jpg,"['Analytics', 'Big Data', 'Qlik Sense', 'Qlik', 'Business', 'Business Intelligence']",28,False,PT2M50S,170.0
34,hyQCo1jHU30,Trendande mode på Tradera,,UCsjpQaATKv_Jkom9TeJzqXA,tradera,https://i.ytimg.com/vi/hyQCo1jHU30/default.jpg,N/A,1,False,PT14S,14.0
35,dRje7cZhls4,Avatar: The Way of Water,,UCQ8eoZdZP4gvGiVkqAh05VA,Disney Sverige,https://i.ytimg.com/vi/dRje7cZhls4/default.jpg,N/A,1,False,PT16S,16.0
